rank,name,name_link,total_gross,total_thea,open_gross,open_thea,open_date,close_date,budget,studio,genre,runtime,MPAArating,Director_list,Director_links,Writer_list,Writer_links,Actor_list,Actor_links,Producer_list,Producer_links,Cinematographer_list,Cinematographer_links,Composer_list,Composer_links
6,Deadpool,http://www.boxofficemojo.com//movies/?id=deadpool2016.htm,363070709,3856,132434639,3558,2/12,6/16,$58 million,Fox,Action,1 hrs. 46 min.,R,,,Rhett Reese | Paul Wernick | ,/people/chart/?view=Writer&id=rhettreese.htm | /people/chart/?view=Writer&id=paulwernick.htm | ,Ryan Reynolds | ,/people/chart/?view=Actor&id=ryanreynolds.htm | ,Lauren Schuler Donner | Simon Kinberg | Ryan Reynolds | ,/people/chart/?view=Producer&id=laurenschulerdonner.htm | /people/chart/?view=Producer&id=simonkinberg.htm | /people/chart/?view=Producer&id=ryanreynolds.htm | ,,,Junkie XL | ,/people/chart/?view=Composer&id=junkiexl.htm | 
8,Batman v Superman: Dawn of Justice,http://www.boxofficemojo.com//movies/?id=superman2015.htm,330360194,4256,166007347,4242,3/25,6/16,$250 million,WB,Action / Adventure,2 hrs. 31 min.,PG-13,Zack Snyder | ,/people/chart/?view=Director&id=zacksnyder.htm | ,David S. Goyer | Chris Terrio | ,/people/chart/?view=Writer&id=davidsgoyer.htm | /people/chart/?view=Writer&id=christerrio.htm | ,Henry Cavill | Ben Affleck | Gal Gadot | Jesse Eisenberg | Jeremy Irons | Amy Adams | Laurence Fishburne | Diane Lane | Holly Hunter | Kevin Costner* | ,/people/chart/?view=Actor&id=henrycavill.htm | /people/chart/?view=Actor&id=benaffleck.htm | /people/chart/?view=Actor&id=galgadot.htm | /people/chart/?view=Actor&id=jesseeisenberg.htm | /people/chart/?view=Actor&id=jeremyirons.htm | /people/chart/?view=Actor&id=amyadams.htm | /people/chart/?view=Actor&id=laurencefishburne.htm | /people/chart/?view=Actor&id=dianelane.htm | /people/chart/?view=Actor&id=hollyhunter.htm | /people/chart/?view=Actor&id=kevincostner.htm | ,David S. Goyer | Charles Roven | Deborah Snyder | ,/people/chart/?view=Producer&id=davidsgoyer.htm | /people/chart/?view=Producer&id=charlesroven.htm | /people/chart/?view=Producer&id=deborahsnyder.htm | ,Larry Fong | ,/people/chart/?view=Cinematographer&id=larryfong.htm | ,Junkie XL | Hans Zimmer | ,/people/chart/?view=Composer&id=junkiexl.htm | /people/chart/?view=Composer&id=hanszimmer.htm | 
10,Sing,http://www.boxofficemojo.com//movies/?id=illumination2016.htm,270329045,4029,35258145,4022,12/21,5/4,$75 million,Uni.,Animation,1 hrs. 50 min.,PG,Garth Jennings | ,/people/chart/?view=Director&id=garthjennings.htm | ,Garth Jennings | ,/people/chart/?view=Writer&id=garthjennings.htm | ,Matthew McConaughey | Reese Witherspoon | Seth MacFarlane | Scarlett Johansson | John C. Reilly | Taron Egerton | ,/people/chart/?view=Actor&id=matthewmcconaughey.htm | /people/chart/?view=Actor&id=reesewitherspoon.htm | /people/chart/?view=Actor&id=sethmacfarlane.htm | /people/chart/?view=Actor&id=scarlettjohansson.htm | /people/chart/?view=Actor&id=johncreilly.htm | /people/chart/?view=Actor&id=taronegerton.htm | ,Janet Healy | Christopher Meledandri | ,/people/chart/?view=Producer&id=janethealy.htm | /people/chart/?view=Producer&id=christophermeledandri.htm | ,,,Joby Talbot | ,/people/chart/?view=Composer&id=jobytalbot.htm | 
12,Fantastic Beasts and Where To Find Them,http://www.boxofficemojo.com//movies/?id=fantasticbeasts.htm,234037575,4144,74403387,4144,11/18,3/30,$180 million,WB,Fantasy,2 hrs. 20 min.,PG-13,David Yates | ,/people/chart/?view=Director&id=davidyates.htm | ,,,Eddie Redmayne | Katherine Waterston | Ezra Miller | Dan Fogler | Colin Farrell | Jon Voight | Ron Perlman | ,/people/chart/?view=Actor&id=eddieredmayne.htm | /people/chart/?view=Actor&id=katherinewaterston.htm | /people/chart/?view=Actor&id=ezramiller.htm | /people/chart/?view=Actor&id=danfogler.htm | /people/chart/?view=Actor&id=colinfarrell.htm | /people/chart/?view=Actor&id=jonvoight.htm | /people/chart/?view=Actor&id=ronperlman.htm | ,,,,,James Newton Howard | ,/people/chart/?view=Composer&id=jamesnewtonhoward.htm | 
14,The Revenant,http://www.boxofficemojo.com//movies/?id=revenant.htm,183637894,3711,474560,4,1/8,5/26,$135 million,Fox,Action / Adventure,2 hrs. 31 min.,R,Alejandro González Iñárritu | ,/people/chart/?view=Director&id=alejandrogonzalezinarritu.htm | ,Alejandro González Iñárritu | ,/people/chart/?view=Writer&id=alejandrogonzalezinarritu.htm | ,Leonardo DiCaprio | Tom Hardy | Lukas Haas | ,/people/chart/?view=Actor&id=leonardodicaprio.htm | /people/chart/?view=Actor&id=tomhardy.htm | /people/chart/?view=Actor&id=lukashaas.htm | ,Steve Golin | Alejandro González Iñárritu | Arnon Milchan | ,/people/chart/?view=Producer&id=stevegolin.htm | /people/chart/?view=Producer&id=alejandrogonzalezinarritu.htm | /people/chart/?view=Producer&id=arnonmilchan.htm | ,,,,
16,Star Trek Beyond,http://www.boxofficemojo.com//movies/?id=startrek2016.htm,158848340,3928,59253211,3928,7/22,10/20,$185 million,Par.,Sci-Fi Adventure,2 hrs. 0 min.,PG-13,Justin Lin | ,/people/chart/?view=Director&id=justinlin.htm | ,Simon Pegg | ,/people/chart/?view=Writer&id=simonpegg.htm | ,Sofia Boutella | Idris Elba | Simon Pegg | Chris Pine | Zoe Saldana | Karl Urban | Anton Yelchin | ,/people/chart/?view=Actor&id=sofiaboutella.htm | /people/chart/?view=Actor&id=idriselba.htm | /people/chart/?view=Actor&id=simonpegg.htm | /people/chart/?view=Actor&id=chrispine.htm | /people/chart/?view=Actor&id=zoesaldana.htm | /people/chart/?view=Actor&id=karlurban.htm | /people/chart/?view=Actor&id=antonyelchin.htm | ,J.J. Abrams | Bryan Burk | David Ellison | Roberto Orci | ,/people/chart/?view=Producer&id=jjabrams.htm | /people/chart/?view=Producer&id=bryanburk.htm | /people/chart/?view=Producer&id=davidellison.htm | /people/chart/?view=Producer&id=robertoorci.htm | ,,,Michael Giacchino | ,/people/chart/?view=Composer&id=michaelgiacchino.htm | 
18,Trolls,http://www.boxofficemojo.com//movies/?id=trolls.htm,153707064,4066,46581142,4060,11/4,3/30,$125 million,Fox,Animation,1 hrs. 34 min.,PG,Mike Mitchell | ,/people/chart/?view=Director&id=mikemitchell.htm | ,Jonathan Aibel | Glenn Berger | ,/people/chart/?view=Writer&id=jonathanaibel.htm | /people/chart/?view=Writer&id=glennberger.htm | ,Anna Kendrick | Justin Timberlake | Russell Brand | Zooey Deschanel | Christopher Mintz-Plasse | Quvenzhane Wallis | ,/people/chart/?view=Actor&id=annakendrick.htm | /people/chart/?view=Actor&id=justintimberlake.htm | /people/chart/?view=Actor&id=russellbrand.htm | /people/chart/?view=Actor&id=zooeydeschanel.htm | /people/chart/?view=Actor&id=christophermintzplasse.htm | /people/chart/?view=Actor&id=quvenzhanewallis.htm | ,,,,,Christophe Beck | ,/people/chart/?view=Composer&id=christophebeck.htm | 
20,Kung Fu Panda 3,http://www.boxofficemojo.com//movies/?id=kungfupanda3.htm,143528619,3987,41282042,3955,1/29,7/21,$145 million,Fox,Animation,1 hrs. 35 min.,PG,Jennifer Yuh Nelson | ,/people/chart/?view=Director&id=jenniferyuhnelson.htm | ,Jonathan Aibel | Glenn Berger | ,/people/chart/?view=Writer&id=jonathanaibel.htm | /people/chart/?view=Writer&id=glennberger.htm | ,Jack Black | Jackie Chan | Bryan Cranston | Dustin Hoffman | Kate Hudson | Angelina Jolie | Lucy Liu | Seth Rogen | ,/people/chart/?view=Actor&id=jackblack.htm | /people/chart/?view=Actor&id=jackiechan.htm | /people/chart/?view=Actor&id=bryancranston.htm | /people/chart/?view=Actor&id=dustinhoffman.htm | /people/chart/?view=Actor&id=katehudson.htm | /people/chart/?view=Actor&id=angelinajolie.htm | /people/chart/?view=Actor&id=lucyliu.htm | /people/chart/?view=Actor&id=sethrogen.htm | ,,,,,Hans Zimmer | ,/people/chart/?view=Composer&id=hanszimmer.htm | 
22,Central Intelligence,http://www.boxofficemojo.com//movies/?id=centralintelligence.htm,127440871,3508,35535250,3508,6/17,9/1,$50 million,WB (NL),Comedy,1 hrs. 47 min.,PG-13,Rawson Marshall Thurber | ,/people/chart/?view=Director&id=rawsonthurber.htm | ,,,Dwayne Johnson | Kevin Hart | Amy Ryan | ,/people/chart/?view=Actor&id=rock.htm | /people/chart/?view=Actor&id=kevinhart.htm | /people/chart/?view=Actor&id=amyryan.htm | ,Scott Stuber | ,/people/chart/?view=Producer&id=scottstuber.htm | ,,,Ludwig Goransson | ,/people/chart/?view=Composer&id=ludwiggoransson.htm | 
24,Sully,http://www.boxofficemojo.com//movies/?id=sully.htm,125070033,3955,35028301,3525,9/9,1/26,$60 million,WB,Drama,1 hrs. 36 min.,PG-13,Clint Eastwood | ,/people/chart/?view=Director&id=clinteastwood.htm | ,,,Aaron Eckhart | Tom Hanks | Laura Linney | ,/people/chart/?view=Actor&id=aaroneckhart.htm | /people/chart/?view=Actor&id=tomhanks.htm | /people/chart/?view=Actor&id=lauralinney.htm | ,,,,,,
26,The Angry Birds Movie,http://www.boxofficemojo.com//movies/?id=angrybirds.htm,107509366,3932,38155177,3932,5/20,9/15,$73 million,Sony,Animation,1 hrs. 37 min.,PG,,,,,Jason Sudeikis | Josh Gad | Danny McBride | Sean Penn | ,/people/chart/?view=Actor&id=jasonsudeikis.htm | /people/chart/?view=Actor&id=joshgad.htm | /people/chart/?view=Actor&id=dannymcbride.htm | /people/chart/?view=Actor&id=seanpenn.htm | ,,,,,,
28,The Conjuring 2,http://www.boxofficemojo.com//movies/?id=conjuring2.htm,102470008,3356,40406314,3343,6/10,8/25,$40 million,WB (NL),Horror,2 hrs. 14 min.,R,James Wan | ,/people/chart/?view=Director&id=jameswan.htm | ,Carey Hayes | Chad Hayes | James Wan | David Leslie Johnson | ,/people/chart/?view=Writer&id=careyhayes.htm | /people/chart/?view=Writer&id=chadhayes.htm | /people/chart/?view=Writer&id=jameswan.htm | /people/chart/?view=Writer&id=davidlesliejohnson.htm | ,Vera Farmiga | Patrick Wilson | ,/people/chart/?view=Actor&id=verafarmiga.htm | /people/chart/?view=Actor&id=patrickwilson.htm | ,,,Don Burgess | ,/people/chart/?view=Cinematographer&id=donburgess.htm | ,Joseph Bishara | ,/people/chart/?view=Composer&id=josephbishara.htm | 
30,Passengers (2016),http://www.boxofficemojo.com//movies/?id=passengers2016.htm,100014699,3478,14869736,3478,12/21,4/20,$110 million,Sony,Sci-Fi,1 hrs. 56 min.,PG-13,Morten Tyldum | ,/people/chart/?view=Director&id=mortentyldum.htm | ,Jon Spaihts | ,/people/chart/?view=Writer&id=jonspaihts.htm | ,Jennifer Lawrence | Chris Pratt | Michael Sheen | Laurence Fishburne | ,/people/chart/?view=Actor&id=jenniferlawrence.htm | /people/chart/?view=Actor&id=chrispratt.htm | /people/chart/?view=Actor&id=michaelsheen.htm | /people/chart/?view=Actor&id=laurencefishburne.htm | ,,,,,Thomas Newman | ,/people/chart/?view=Composer&id=thomasnewman.htm | 
32,The Magnificent Seven (2016),http://www.boxofficemojo.com//movies/?id=themagnificentseven.htm,93432655,3696,34703397,3674,9/23,1/5,$90 million,Sony,Western,2 hrs. 13 min.,PG-13,Antoine Fuqua | ,/people/chart/?view=Director&id=antoinefuqua.htm | ,John Lee Hancock | ,/people/chart/?view=Writer&id=johnleehancock.htm | ,Cam Gigandet | Ethan Hawke | Chris Pratt | Peter Sarsgaard | Denzel Washington | ,/people/chart/?view=Actor&id=camgigandet.htm | /people/chart/?view=Actor&id=ethanhawke.htm | /people/chart/?view=Actor&id=chrispratt.htm | /people/chart/?view=Actor&id=petersarsgaard.htm | /people/chart/?view=Actor&id=denzelwashington.htm | ,,,,,James Horner | ,/people/chart/?view=Composer&id=jameshorner.htm | 
34,Don't Breathe,http://www.boxofficemojo.com//movies/?id=dontbreathe.htm,89217875,3384,26411706,3051,8/26,12/22,$9.9 million,SGem,Horror Thriller,1 hrs. 28 min.,R,Fede Alvarez | ,/people/chart/?view=Director&id=fedealvarez.htm | ,Fede Alvarez | Rodo Sayagues Mendez | ,/people/chart/?view=Writer&id=fedealvarez.htm | /people/chart/?view=Writer&id=rodomendez.htm | ,,,Sam Raimi | Fede Alvarez | ,/people/chart/?view=Producer&id=samraimi.htm | /people/chart/?view=Producer&id=fedealvarez.htm | ,,,,
36,The Accountant,http://www.boxofficemojo.com//movies/?id=theaccountant.htm,86260045,3402,24710273,3332,10/14,1/12,$44 million,WB,Drama,2 hrs. 8 min.,R,Gavin O'Connor | ,/people/chart/?view=Director&id=gavinoconnor.htm | ,Bill Dubuque | ,/people/chart/?view=Writer&id=billdubuque.htm | ,Ben Affleck | Anna Kendrick | ,/people/chart/?view=Actor&id=benaffleck.htm | /people/chart/?view=Actor&id=annakendrick.htm | ,,,,,,
38,The Purge: Election Year,http://www.boxofficemojo.com//movies/?id=purge3.htm,79213375,2821,31515110,2796,7/1,10/13,$10 million,Uni.,Thriller,1 hrs. 45 min.,R,,,,,Frank Grillo | ,/people/chart/?view=Actor&id=frankgrillo.htm | ,,,,,Nathan Whitehead | ,/people/chart/?view=Composer&id=nathanwhitehead.htm | 
40,Pete's Dragon (2016),http://www.boxofficemojo.com//movies/?id=petesdragon2016.htm,76233151,3702,21514095,3702,8/12,12/15,$65 million,BV,Family,1 hrs. 42 min.,PG,,,,,Bryce Dallas Howard | Robert Redford | Karl Urban | ,/people/chart/?view=Actor&id=brycedallashoward.htm | /people/chart/?view=Actor&id=robertredford.htm | /people/chart/?view=Actor&id=karlurban.htm | ,,,,,,
42,Boo! A Madea Halloween,http://www.boxofficemojo.com//movies/?id=booamadeahalloween.htm,73206343,2299,28501448,2260,10/21,12/22,$20 million,LGF,Horror Comedy,1 hrs. 43 min.,PG-13,Tyler Perry | ,/people/chart/?view=Director&id=tylerperry.htm | ,Tyler Perry | ,/people/chart/?view=Writer&id=tylerperry.htm | ,Tyler Perry | Bella Thorne | ,/people/chart/?view=Actor&id=tylerperry.htm | /people/chart/?view=Actor&id=bellathorne.htm | ,Ozzie Areu | Tyler Perry | ,/people/chart/?view=Producer&id=ozzieareu.htm | /people/chart/?view=Producer&id=tylerperry.htm | ,,,,
44,10 Cloverfield Lane,http://www.boxofficemojo.com//movies/?id=badrobot2016.htm,72082998,3427,24727437,3391,3/11,6/2,N/A,Par.,Thriller,1 hrs. 45 min.,PG-13,,,Damien Chazelle | ,/people/chart/?view=Writer&id=damienchazelle.htm | ,Mary Elizabeth Winstead | John Goodman | ,/people/chart/?view=Actor&id=maryelizabethwinstead.htm | /people/chart/?view=Actor&id=johngoodman.htm | ,J.J. Abrams | ,/people/chart/?view=Producer&id=jjabrams.htm | ,,,,
46,Hacksaw Ridge,http://www.boxofficemojo.com//movies/?id=hacksawridge.htm,67209615,2971,15190758,2886,11/4,3/9,$40 million,LGF,Action Drama,2 hrs. 11 min.,R,Mel Gibson | ,/people/chart/?view=Director&id=melgibson.htm | ,,,Andrew Garfield | Sam Worthington | Luke Bracey | Teresa Palmer | Hugo Weaving | Vince Vaughn | ,/people/chart/?view=Actor&id=andrewgarfield.htm | /people/chart/?view=Actor&id=samworthington.htm | /people/chart/?view=Actor&id=lukebracey.htm | /people/chart/?view=Actor&id=teresapalmer.htm | /people/chart/?view=Actor&id=hugoweaving.htm | /people/chart/?view=Actor&id=vincevaughn.htm | ,,,,,,
48,Now You See Me 2,http://www.boxofficemojo.com//movies/?id=nowyouseeme2.htm,65075540,3232,22383146,3232,6/10,8/25,N/A,LG/S,Thriller,2 hrs. 9 min.,PG-13,Jon Chu | ,/people/chart/?view=Director&id=jonchu.htm | ,,,Mark Ruffalo | Woody Harrelson | Jesse Eisenberg | Dave Franco | Morgan Freeman | Michael Caine | Daniel Radcliffe | ,/people/chart/?view=Actor&id=markruffalo.htm | /people/chart/?view=Actor&id=woodyharrelson.htm | /people/chart/?view=Actor&id=jesseeisenberg.htm | /people/chart/?view=Actor&id=davefranco.htm | /people/chart/?view=Actor&id=morganfreeman.htm | /people/chart/?view=Actor&id=michaelcaine.htm | /people/chart/?view=Actor&id=danielradcliffe.htm | ,Alex Kurtzman | Roberto Orci | ,/people/chart/?view=Producer&id=alexkurtzman.htm | /people/chart/?view=Producer&id=robertoorci.htm | ,,,Brian Tyler | ,/people/chart/?view=Composer&id=briantyler.htm | 
50,The Boss,http://www.boxofficemojo.com//movies/?id=michelledarnell.htm,63285885,3495,23586645,3480,4/8,8/4,$29 million,Uni.,Comedy,1 hrs. 39 min.,R,,,Melissa McCarthy | ,/people/chart/?view=Writer&id=melissamccarthy.htm | ,Melissa McCarthy | Kristen Bell | Kathy Bates | ,/people/chart/?view=Actor&id=melissamccarthy.htm | /people/chart/?view=Actor&id=kristenbell.htm | /people/chart/?view=Actor&id=kathybates.htm | ,Will Ferrell | Melissa McCarthy | Adam McKay | ,/people/chart/?view=Producer&id=willferrell.htm | /people/chart/?view=Producer&id=melissamccarthy.htm | /people/chart/?view=Producer&id=adammckay.htm | ,Julio Macat | ,/people/chart/?view=Cinematographer&id=juliomacat.htm | ,,
52,Miracles from Heaven,http://www.boxofficemojo.com//movies/?id=miraclesfromheaven.htm,61705123,3155,14812393,3047,3/16,7/21,$13 million,TriS,Drama,1 hrs. 49 min.,PG,,,,,Eugenio Derbez | Jennifer Garner | Queen Latifah | ,/people/chart/?view=Actor&id=eugenioderbez.htm | /people/chart/?view=Actor&id=jennifergarner.htm | /people/chart/?view=Actor&id=queenlatifah.htm | ,T.D. Jakes | Joe Roth | ,/people/chart/?view=Producer&id=tdjakes.htm | /people/chart/?view=Producer&id=joeroth.htm | ,,,,
54,Why Him?,http://www.boxofficemojo.com//movies/?id=whyhim.htm,60323786,3008,11002986,2917,12/23,3/23,$38 million,Fox,Comedy,1 hrs. 51 min.,R,,,,,James Franco | Bryan Cranston | Cedric the Entertainer | ,/people/chart/?view=Actor&id=jamesfranco.htm | /people/chart/?view=Actor&id=bryancranston.htm | /people/chart/?view=Actor&id=cedrictheentertainer.htm | ,,,,,,
56,Jack Reacher: Never Go Back,http://www.boxofficemojo.com//movies/?id=jackreacher2.htm,58697076,3780,22872490,3780,10/21,1/12,$60 million,Par.,Crime Drama,1 hrs. 58 min.,PG-13,Edward Zwick | ,/people/chart/?view=Director&id=edwardzwick.htm | ,,,Tom Cruise | ,/people/chart/?view=Actor&id=tomcruise.htm | ,Tom Cruise | David Ellison | ,/people/chart/?view=Producer&id=tomcruise.htm | /people/chart/?view=Producer&id=davidellison.htm | ,,,Henry Jackman | ,/people/chart/?view=Composer&id=henryjackman.htm | 
58,Me Before You,http://www.boxofficemojo.com//movies/?id=mebeforeyou.htm,56245075,2762,18723269,2704,6/3,8/18,$20 million,WB (NL),Romance,1 hrs. 50 min.,PG-13,,,,,,,,,,,,
60,Neighbors 2: Sorority Rising,http://www.boxofficemojo.com//movies/?id=universalcomedy2016.htm,55455765,3416,21760405,3384,5/20,7/14,N/A,Uni.,Comedy,1 hrs. 31 min.,R,Nick Stoller | ,/people/chart/?view=Director&id=nickstoller.htm | ,Evan Goldberg | Brendan O'Brien | Seth Rogen | Nick Stoller | ,/people/chart/?view=Writer&id=evangoldberg.htm | /people/chart/?view=Writer&id=brendanobrien.htm | /people/chart/?view=Writer&id=sethrogen.htm | /people/chart/?view=Writer&id=nickstoller.htm | ,Zac Efron | Rose Byrne | Seth Rogen | Chloe Moretz | ,/people/chart/?view=Actor&id=zacefron.htm | /people/chart/?view=Actor&id=rosebyrne.htm | /people/chart/?view=Actor&id=sethrogen.htm | /people/chart/?view=Actor&id=chloemoretz.htm | ,Evan Goldberg | Brendan O'Brien | Seth Rogen | James Weaver | ,/people/chart/?view=Producer&id=evangoldberg.htm | /people/chart/?view=Producer&id=brendanobrien.htm | /people/chart/?view=Producer&id=sethrogen.htm | /people/chart/?view=Producer&id=jamesweaver.htm | ,,,,
