rank,name,name_link,total_gross,total_thea,open_gross,open_thea,open_date,close_date,budget,studio,genre,runtime,MPAArating,Director_list,Director_links,Writer_list,Writer_links,Actor_list,Actor_links,Producer_list,Producer_links,Cinematographer_list,Cinematographer_links,Composer_list,Composer_links
62,Office Christmas Party,http://www.boxofficemojo.com//movies/?id=officechristmasparty.htm,54767494,3210,17500000,3210,12/9,1/26,$45 million,Par.,Comedy,1 hrs. 45 min.,R,Josh Gordon | Will Speck | ,/people/chart/?view=Director&id=joshgordon.htm | /people/chart/?view=Director&id=willspeck.htm | ,Timothy Dowling | ,/people/chart/?view=Writer&id=timothydowling.htm | ,Jennifer Aniston | Jason Bateman | ,/people/chart/?view=Actor&id=jenniferaniston.htm | /people/chart/?view=Actor&id=jasonbateman.htm | ,Scott Stuber | ,/people/chart/?view=Producer&id=scottstuber.htm | ,,,,
64,Barbershop: The Next Cut,http://www.boxofficemojo.com//movies/?id=barbershop3.htm,54030051,2676,20242415,2661,4/15,7/14,N/A,WB (NL),Comedy,1 hrs. 52 min.,PG-13,Malcolm D. Lee | ,/people/chart/?view=Director&id=malcolmdlee.htm | ,,,Ice Cube | Cedric the Entertainer | Regina Hall | Common | Nicki Minaj | ,/people/chart/?view=Actor&id=icecube.htm | /people/chart/?view=Actor&id=cedrictheentertainer.htm | /people/chart/?view=Actor&id=reginahall.htm | /people/chart/?view=Actor&id=commonactor.htm | /people/chart/?view=Actor&id=nickiminaj.htm | ,,,,,,
66,The Huntsman: Winter's War,http://www.boxofficemojo.com//movies/?id=huntsman.htm,48390190,3802,19445035,3791,4/22,8/4,$115 million,Uni.,Action / Adventure,1 hrs. 54 min.,PG-13,,,Evan Spiliotopoulos | Craig Mazin | ,/people/chart/?view=Writer&id=evanspiliotopoulos.htm | /people/chart/?view=Writer&id=craigmazin.htm | ,Chris Hemsworth | Charlize Theron | Jessica Chastain | Emily Blunt | Nick Frost | Sophie Cookson | ,/people/chart/?view=Actor&id=chrishemsworth.htm | /people/chart/?view=Actor&id=charlizetheron.htm | /people/chart/?view=Actor&id=jessicachastain.htm | /people/chart/?view=Actor&id=emilyblunt.htm | /people/chart/?view=Actor&id=nickfrost.htm | /people/chart/?view=Actor&id=sophiecookson.htm | ,Joe Roth | ,/people/chart/?view=Producer&id=joeroth.htm | ,,,James Newton Howard | ,/people/chart/?view=Composer&id=jamesnewtonhoward.htm | 
68,Manchester by the Sea,http://www.boxofficemojo.com//movies/?id=manchesterbythesea.htm,47695371,1213,256498,4,12/16,4/27,$9 million,RAtt.,Drama,2 hrs. 15 min.,R,Kenneth Lonergan | ,/people/chart/?view=Director&id=kennethlonergan.htm | ,Kenneth Lonergan | ,/people/chart/?view=Writer&id=kennethlonergan.htm | ,Casey Affleck | Michelle Williams | ,/people/chart/?view=Actor&id=caseyaffleck.htm | /people/chart/?view=Actor&id=michellewilliams.htm | ,,,,,,
70,How to Be Single,http://www.boxofficemojo.com//movies/?id=howtobesingle.htm,46843513,3357,17878911,3343,2/12,4/14,$38 million,WB (NL),Romantic Comedy,1 hrs. 50 min.,R,,,,,Leslie Mann | Rebel Wilson | ,/people/chart/?view=Actor&id=lesliemann.htm | /people/chart/?view=Actor&id=rebelwilson.htm | ,,,,,,
72,War Dogs,http://www.boxofficemojo.com//movies/?id=armsandthedudes.htm,43034523,3258,14685305,3258,8/19,10/20,N/A,WB,Comedy / Drama,1 hrs. 54 min.,R,Todd Phillips | ,/people/chart/?view=Director&id=toddphillips.htm | ,,,Jonah Hill | Miles Teller | ,/people/chart/?view=Actor&id=jonahhill.htm | /people/chart/?view=Actor&id=milesteller.htm | ,,,Larry Sher | ,/people/chart/?view=Cinematographer&id=larrysher.htm | ,,
74,Money Monster,http://www.boxofficemojo.com//movies/?id=moneymonster.htm,41012075,3104,14788157,3104,5/13,8/4,$27 million,TriS,Drama / Thriller,1 hrs. 35 min.,R,Jodie Foster | ,/people/chart/?view=Director&id=jodiefoster.htm | ,,,George Clooney | Jack O'Connell | Julia Roberts | ,/people/chart/?view=Actor&id=georgeclooney.htm | /people/chart/?view=Actor&id=jackoconnell.htm | /people/chart/?view=Actor&id=juliaroberts.htm | ,George Clooney | Grant Heslov | ,/people/chart/?view=Producer&id=georgeclooney.htm | /people/chart/?view=Producer&id=grantheslov.htm | ,,,,
76,Nerve,http://www.boxofficemojo.com//movies/?id=nerve.htm,38583626,2538,9445456,2538,7/27,10/6,$19 million,LGF,Thriller,1 hrs. 36 min.,PG-13,Henry Joost | Ariel Schulman | ,/people/chart/?view=Director&id=henryjoost.htm | /people/chart/?view=Director&id=arielschulman.htm | ,,,Dave Franco | Emma Roberts | ,/people/chart/?view=Actor&id=davefranco.htm | /people/chart/?view=Actor&id=emmaroberts.htm | ,,,,,,
78,The Nice Guys,http://www.boxofficemojo.com//movies/?id=niceguys.htm,36261763,2865,11203270,2865,5/20,8/4,$50 million,WB,Comedy Thriller,1 hrs. 56 min.,R,Shane Black | ,/people/chart/?view=Director&id=shaneblack.htm | ,,,Ryan Gosling | Russell Crowe | Kim Basinger | ,/people/chart/?view=Actor&id=ryangosling.htm | /people/chart/?view=Actor&id=russellcrowe.htm | /people/chart/?view=Actor&id=kimbasinger.htm | ,,,,,,
80,Dirty Grandpa,http://www.boxofficemojo.com//movies/?id=dirtygrandpa.htm,35593113,2912,11111875,2912,1/22,3/17,$25 million,LGF,Comedy,1 hrs. 42 min.,R,,,,,Robert DeNiro | Zac Efron | Aubrey Plaza | Julianne Hough | ,/people/chart/?view=Actor&id=robertdeniro.htm | /people/chart/?view=Actor&id=zacefron.htm | /people/chart/?view=Actor&id=aubreyplaza.htm | /people/chart/?view=Actor&id=juliannehough.htm | ,,,,,,
82,The 5th Wave,http://www.boxofficemojo.com//movies/?id=5thwave.htm,34916787,2908,10326356,2908,1/22,5/26,$38 million,Sony,Sci-Fi Action,1 hrs. 52 min.,PG-13,,,,,Chloe Moretz | Ron Livingston | Liev Schreiber | ,/people/chart/?view=Actor&id=chloemoretz.htm | /people/chart/?view=Actor&id=ronlivingston.htm | /people/chart/?view=Actor&id=lievschreiber.htm | ,,,,,Henry Jackman | ,/people/chart/?view=Composer&id=henryjackman.htm | 
84,Mother's Day,http://www.boxofficemojo.com//movies/?id=mothersday.htm,32492859,3291,8369184,3035,4/29,6/16,$25 million,ORF,Comedy,1 hrs. 58 min.,PG-13,Garry Marshall | ,/people/chart/?view=Director&id=garrymarshall.htm | ,,,Jennifer Aniston | Kate Hudson | Timothy Olyphant | Julia Roberts | Jason Sudeikis | ,/people/chart/?view=Actor&id=jenniferaniston.htm | /people/chart/?view=Actor&id=katehudson.htm | /people/chart/?view=Actor&id=timothyolyphant.htm | /people/chart/?view=Actor&id=juliaroberts.htm | /people/chart/?view=Actor&id=jasonsudeikis.htm | ,,,,,,
86,Collateral Beauty,http://www.boxofficemojo.com//movies/?id=collateralbeauty.htm,31016021,3028,7102085,3028,12/16,2/9,$36 million,WB (NL),Drama,1 hrs. 34 min.,PG-13,David Frankel | ,/people/chart/?view=Director&id=davidfrankel.htm | ,Allan Loeb | ,/people/chart/?view=Writer&id=allanloeb.htm | ,Will Smith | Helen Mirren | Edward Norton | Naomie Harris | Keira Knightley | Kate Winslet | ,/people/chart/?view=Actor&id=willsmith.htm | /people/chart/?view=Actor&id=helenmirren.htm | /people/chart/?view=Actor&id=edwardnorton.htm | /people/chart/?view=Actor&id=naomieharris.htm | /people/chart/?view=Actor&id=keiraknightley.htm | /people/chart/?view=Actor&id=katewinslet.htm | ,,,Maryse Alberti | ,/people/chart/?view=Cinematographer&id=marysealberti.htm | ,,
88,When the Bough Breaks,http://www.boxofficemojo.com//movies/?id=whentheboughbreaks.htm,29747603,2246,14202323,2246,9/9,11/17,$10 million,SGem,Drama,1 hrs. 47 min.,PG-13,,,,,Morris Chestnut | Regina Hall | ,/people/chart/?view=Actor&id=morrischestnut.htm | /people/chart/?view=Actor&id=reginahall.htm | ,,,,,,
90,Moonlight (2016),http://www.boxofficemojo.com//movies/?id=moonlight2016.htm,27854932,1564,402075,4,11/18,5/4,$4 million,A24,Drama,1 hrs. 50 min.,R,,,,,Naomie Harris | ,/people/chart/?view=Actor&id=naomieharris.htm | ,,,,,,
92,Florence Foster Jenkins,http://www.boxofficemojo.com//movies/?id=florencefosterjenkins.htm,27383770,1528,6601313,1528,8/12,10/27,$29 million,Par.,Drama,1 hrs. 50 min.,PG-13,Stephen Frears | ,/people/chart/?view=Director&id=stephenfrears.htm | ,,,Rebecca Ferguson | Hugh Grant | Meryl Streep | ,/people/chart/?view=Actor&id=rebeccaferguson.htm | /people/chart/?view=Actor&id=hughgrant.htm | /people/chart/?view=Actor&id=merylstreep.htm | ,,,,,,
94,The Forest,http://www.boxofficemojo.com//movies/?id=forest.htm,26594261,2509,12741176,2451,1/8,3/17,$10 million,Focus,Horror,1 hrs. 35 min.,PG-13,,,,,,,,,,,,
96,The Witch,http://www.boxofficemojo.com//movies/?id=thewitch.htm,25138705,2204,8800230,2046,2/19,5/26,$4 million,A24,Horror,1 hrs. 32 min.,R,,,,,,,,,,,,
98,Kevin Hart: What Now?,http://www.boxofficemojo.com//movies/?id=kevinhart2016.htm,23591043,2567,11767210,2567,10/14,12/15,$9.9 million,Uni.,Concert,1 hrs. 36 min.,R,,,,,Kevin Hart | ,/people/chart/?view=Actor&id=kevinhart.htm | ,,,,,,
100,Snowden,http://www.boxofficemojo.com//movies/?id=snowden.htm,21587519,2443,8000058,2443,9/16,11/17,$40 million,ORF,Thriller,2 hrs. 14 min.,R,Oliver Stone | ,/people/chart/?view=Director&id=oliverstone.htm | ,,,Joseph Gordon-Levitt | Shailene Woodley | Melissa Leo | Tom Wilkinson | Rhys Ifans | Timothy Olyphant | ,/people/chart/?view=Actor&id=josephgordonlevitt.htm | /people/chart/?view=Actor&id=shailenewoodley.htm | /people/chart/?view=Actor&id=melissaleo.htm | /people/chart/?view=Actor&id=tomwilkinson.htm | /people/chart/?view=Actor&id=rhysifans.htm | /people/chart/?view=Actor&id=timothyolyphant.htm | ,,,,,,
101,Mechanic: Resurrection,http://www.boxofficemojo.com//movies/?id=mechanic2.htm,21218403,2258,7456525,2258,8/26,10/27,N/A,LG/S,Action,1 hrs. 39 min.,R,,,,,Jason Statham | Jessica Alba | Tommy Lee Jones | Michelle Yeoh | ,/people/chart/?view=Actor&id=jasonstatham.htm | /people/chart/?view=Actor&id=jessicaalba.htm | /people/chart/?view=Actor&id=tommyleejones.htm | /people/chart/?view=Actor&id=michelleyeoh.htm | ,,,,,,
103,Blair Witch,http://www.boxofficemojo.com//movies/?id=woods2016.htm,20777061,3121,9576057,3121,9/16,10/27,$5 million,LGF,Horror,1 hrs. 30 min.,R,Adam Wingard | ,/people/chart/?view=Director&id=adamwingard.htm | ,Simon Barrett | ,/people/chart/?view=Writer&id=simonbarrett.htm | ,,,,,,,,
105,Keanu,http://www.boxofficemojo.com//movies/?id=keanu.htm,20591853,2681,9453224,2658,4/29,6/30,$15 million,WB (NL),Comedy,1 hrs. 38 min.,R,,,,,Jordan Peele | Will Forte | Nia Long | ,/people/chart/?view=Actor&id=jordanpeele.htm | /people/chart/?view=Actor&id=willforte.htm | /people/chart/?view=Actor&id=nialong.htm | ,,,,,,
107,Nine Lives (2016),http://www.boxofficemojo.com//movies/?id=ninelives2016.htm,19700032,2264,6249915,2264,8/5,10/27,$30 million,EC,Comedy,1 hrs. 27 min.,PG,Barry Sonnenfeld | ,/people/chart/?view=Director&id=barrysonnenfeld.htm | ,,,Jennifer Garner | Kevin Spacey | Christopher Walken | ,/people/chart/?view=Actor&id=jennifergarner.htm | /people/chart/?view=Actor&id=kevinspacey.htm | /people/chart/?view=Actor&id=christopherwalken.htm | ,,,,,,
109,The Choice,http://www.boxofficemojo.com//movies/?id=thechoice.htm,18730891,2631,6050443,2631,2/5,3/31,N/A,LGF,Romance,1 hrs. 51 min.,PG-13,Ross Katz | ,/people/chart/?view=Director&id=rosskatz.htm | ,,,Teresa Palmer | Tom Wilkinson | ,/people/chart/?view=Actor&id=teresapalmer.htm | /people/chart/?view=Actor&id=tomwilkinson.htm | ,,,,,,
111,Bad Santa 2,http://www.boxofficemojo.com//movies/?id=badsanta2.htm,17782178,2945,6176680,2920,11/23,1/26,$26 million,BG,Comedy,1 hrs. 27 min.,R,Mark S. Waters | ,/people/chart/?view=Director&id=markswaters.htm | ,,,Kathy Bates | Tony Cox | Billy Bob Thornton | ,/people/chart/?view=Actor&id=kathybates.htm | /people/chart/?view=Actor&id=tonycox.htm | /people/chart/?view=Actor&id=billybobthornton.htm | ,,,,,,
113,Norm of the North,http://www.boxofficemojo.com//movies/?id=normofthenorth.htm,17062499,2411,6844137,2411,1/15,3/17,N/A,LGF,Animation,1 hrs. 30 min.,PG,,,,,Rob Schneider | ,/people/chart/?view=Actor&id=robschneider.htm | ,,,,,,
115,Eddie the Eagle,http://www.boxofficemojo.com//movies/?id=eddietheeagle.htm,15789389,2044,6084682,2042,2/26,5/26,$23 million,Fox,Drama,1 hrs. 45 min.,PG-13,,,,,Christopher Walken | Taron Egerton | Hugh Jackman | ,/people/chart/?view=Actor&id=christopherwalken.htm | /people/chart/?view=Actor&id=taronegerton.htm | /people/chart/?view=Actor&id=hughjackman.htm | ,Matthew Vaughn | ,/people/chart/?view=Producer&id=matthewvaughn.htm | ,,,,
117,Keeping Up with the Joneses,http://www.boxofficemojo.com//movies/?id=keepingupjoneses.htm,14904426,3022,5461475,3022,10/21,12/29,$40 million,Fox,Comedy,1 hrs. 41 min.,PG-13,Greg Mottola | ,/people/chart/?view=Director&id=gregmottola.htm | ,,,Isla Fisher | Gal Gadot | Zach Galifianakis | Jon Hamm | ,/people/chart/?view=Actor&id=islafisher.htm | /people/chart/?view=Actor&id=galgadot.htm | /people/chart/?view=Actor&id=zachgalifianakis.htm | /people/chart/?view=Actor&id=jonhamm.htm | ,,,,,,
119,Room,http://www.boxofficemojo.com//movies/?id=room2015.htm,14677654,862,118298,4,1/22,4/24,N/A,A24,Drama,1 hrs. 58 min.,R,,,,,Brie Larson | Joan Allen | William H. Macy | ,/people/chart/?view=Actor&id=brielarson.htm | /people/chart/?view=Actor&id=joanallen.htm | /people/chart/?view=Actor&id=williamhmacy.htm | ,,,,,,
121,The Edge of Seventeen,http://www.boxofficemojo.com//movies/?id=besties.htm,14431633,1945,4754215,1945,11/18,1/5,$9 million,STX,Comedy,1 hrs. 39 min.,R,,,,,Woody Harrelson | Hailee Steinfeld | ,/people/chart/?view=Actor&id=woodyharrelson.htm | /people/chart/?view=Actor&id=haileesteinfeld.htm | ,James L. Brooks | Richard Sakai | ,/people/chart/?view=Producer&id=jameslbrooks.htm | /people/chart/?view=Producer&id=richardsakai.htm | ,,,,
123,Hillary's America: The Secret History of the Democratic Party,http://www.boxofficemojo.com//movies/?id=hillarysamerica.htm,13099931,1217,74814,3,7/22,10/13,N/A,QF,Documentary,1 hrs. 40 min.,PG-13,Dinesh D'Souza | ,/people/chart/?view=Director&id=dineshdsouza.htm | ,Dinesh D'Souza | ,/people/chart/?view=Writer&id=dineshdsouza.htm | ,,,,,,,,
