,author,author_link,date,iscore,meta_movie_name,mixed,moviename,moviename_x,negative,num_crit,positive,rank,release_date,source,source_link,summary,total_score
41,Tirdad Derakhshani,http://www.metacritic.com//critic/tirdad-derakhshani?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Philadelphia Inquirer,http://www.metacritic.com//publication/philadelphia-inquirer?filter=movies,Rogue One is a minor little story with a likable cast and familiar Star Wars themes. But it tries so hard to be an epic masterpiece – with self-important speeches and an insanely outsize orchestral score –  that it ends up a laughable parody of itself.,65
42,Kate Taylor,http://www.metacritic.com//critic/kate-taylor?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Globe and Mail (Toronto),http://www.metacritic.com//publication/the-globe-and-mail-toronto?filter=movies,"Only Tudyk’s dry humour in the role of the tactless droid K-2S0 makes Edwards’s darkly reductivist approach occasionally seem smarter rather than lesser. In the end, this hardening of the franchise seems likely to alienate both the fans and the uninitiated.",65
43,Bilge Ebiri,http://www.metacritic.com//critic/bilge-ebiri?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Village Voice,http://www.metacritic.com//publication/village-voice?filter=movies,"Rogue One's creators clearly want to move us deeply — several major plot developments should pack an overwhelming emotional wallop — but they haven’t given this talented cast enough to work with. It’s fast, loud, even lovely — and not terribly engaging.",65
44,Rene Rodriguez,http://www.metacritic.com//critic/rene-rodriguez?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Miami Herald,http://www.metacritic.com//publication/miami-herald?filter=movies,"The good news about Rogue One: A Star Wars Story, the first in a planned series of stand-alone movies set in the “Star Wars” universe, is that the last half-hour of the film is a sustained stretch of rousing action, indelible images and cliffhanger thrills. It’s pop sci-fi bliss...The bad news about Rogue One is that getting to the good stuff is a slog — and the movie is pretty long.",65
45,Alonso Duralde,http://www.metacritic.com//critic/alonso-duralde?filter=movies,"Dec 13, 2016",50.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",TheWrap,http://www.metacritic.com//publication/thewrap?filter=movies,"Rogue One: A Star Wars Story is for the fans, all right, but in that expression’s worst way.",65
46,Amy Nicholson,http://www.metacritic.com//critic/amy-nicholson?filter=movies,"Dec 15, 2016",42.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",MTV News,http://www.metacritic.com//publication/mtv-news?filter=movies,"Edwards and the screenwriters have designed Rogue One around applause breaks for cameos and callbacks. We’ve all lost the point of the franchise. Audiences once packed theaters to gawk at the future; now, it’s to soak in the past.",65
47,Joe Morgenstern,http://www.metacritic.com//critic/joe-morgenstern?filter=movies,"Dec 13, 2016",40.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Wall Street Journal,http://www.metacritic.com//publication/wall-street-journal?filter=movies,"The fault lies not with Ms. Jones, an appealing performer, but with Gareth Edwards, who directed doggedly from a delight-free script by Chris Weitz and Tony Gilroy.",65
48,Lawrence Toppman,http://www.metacritic.com//critic/lawrence-toppman?filter=movies,"Dec 13, 2016",38.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Charlotte Observer,http://www.metacritic.com//publication/charlotte-observer?filter=movies,"“Star Wars” movies have been dazzling, infuriating, heartbreaking, silly, witty, convoluted, gripping and overblown. But until Rogue One: A Star Wars story, I don’t think “dull” was the most appropriate adjective.",65
49,Richard Brody,http://www.metacritic.com//critic/richard-brody?filter=movies,"Dec 13, 2016",30.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The New Yorker,http://www.metacritic.com//publication/the-new-yorker?filter=movies,"The director of Rogue One, Gareth Edwards, has stepped into a mythopoetic stew so half-baked and overcooked, a morass of pre-instantly overanalyzed implications of such shuddering impact to the series’ fundamentalists, that he lumbers through, seemingly stunned or constrained or cautious to the vanishing point of passivity, and lets neither the characters nor the formidable cast of actors nor even the special effects, of which he has previously proved himself to be a master, come anywhere close to life.",65
50,Mick LaSalle,http://www.metacritic.com//critic/mick-lasalle?filter=movies,"Dec 13, 2016",25.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",San Francisco Chronicle,http://www.metacritic.com//publication/san-francisco-chronicle?filter=movies,"It’s a downer. It’s morally tangled. The characters are as depressed as the scenario, and Michael Giacchino’s music can’t make it better.",65
51,Robbie Collin,http://www.metacritic.com//critic/robbie-collin?filter=movies,"Apr 20, 2016",100.0,Captain America: Civil War,11.0,,Captain America: Civil War,0.0,52.0,41.0,3,"May 6, 2016",The Telegraph,http://www.metacritic.com//publication/the-telegraph?filter=movies,"At the root of that is Civil War’s greatest strength – and the reason it makes all thought of the recent Batman v Superman debacle evaporate on contact. The Russos’ film has an unshakeable faith in these decades-old characters: they’re not wrangled into standing for anything other than who they are, with no gloss or reinterpretation or reach for epic significance required. This is the cinematic superhero showdown you’ve dreamt of since childhood, precisely because that’s everything – and all – it wants to be.",75
52,Drew McWeeny,http://www.metacritic.com//critic/drew-mcweeny?filter=movies,"Apr 18, 2016",100.0,Captain America: Civil War,11.0,,Captain America: Civil War,0.0,52.0,41.0,3,"May 6, 2016",Hitfix,http://www.metacritic.com//publication/hitfix?filter=movies,"What makes Captain America: Civil War such a terrific accomplishment is the way it takes what could have been the most crass and overcrowded story to adapt as a film and instead transforms it into an examination of just who these heroes are and what impact they’ve had on the world around them, and vice versa.",75
53,Jordan Farley,,"Apr 13, 2016",100.0,Captain America: Civil War,11.0,,Captain America: Civil War,0.0,52.0,41.0,3,"May 6, 2016",Total Film,http://www.metacritic.com//publication/total-film?filter=movies,"If there’s a risk of the Marvel ‘formula’ becoming stale, there isn’t any evidence of that here. Civil War isn’t just a damn-near-perfect popcorn crowd-pleaser; it doesn’t offer any easy answers for its combatants, or the world going forward. Team Cap or Team Iron Man? The real winner here is Team Marvel.",75
54,Dan Jolin,http://www.metacritic.com//critic/dan-jolin?filter=movies,"Apr 13, 2016",100.0,Captain America: Civil War,11.0,,Captain America: Civil War,0.0,52.0,41.0,3,"May 6, 2016",Empire,http://www.metacritic.com//publication/empire?filter=movies,"Matching its blockbuster scale and spectacle with the smarts of a great, grown-up thriller, Captain America: Civil War is Marvel Studios’ finest film yet.",75
55,Steve Persall,http://www.metacritic.com//critic/steve-persall?filter=movies,"May  4, 2016",91.0,Captain America: Civil War,11.0,,Captain America: Civil War,0.0,52.0,41.0,3,"May 6, 2016",Tampa Bay Times,http://www.metacritic.com//publication/tampa-bay-times?filter=movies,"More than any previous Marvel adaptation, Civil War conveys the comics' light touch amid somber circumstances. In a bold stroke, those circumstances are of the heroes' own making.",75
